,Period,Clim,Var,#st,#,Mean,Median,q5,q95,Min,Max
0,01.01.2010-31.12.2010,No,angabs4487aer,205,4001,1.6129241499625093,1.360265,0.618697,3.240461,-1.957629,3.988364
1,01.01.2010-31.12.2010,No,ang4487aer,205,4001,0.9828068605348662,1.116962,0.081096,1.841488,-0.050848,2.186127
2,01.01.2010-31.12.2010,No,abs550aer,205,4001,0.041896783182413265,0.03437281587939,0.00760443725301544,0.10146348629782061,0.001214676515177242,0.3188280157385311
3,01.01.2010-31.12.2010,No,od550aer,205,4001,0.591532227346638,0.4589719799333384,0.2675470061725776,1.3731267701166525,0.12877557738199052,3.184330026578347
4,01.01.2010-31.12.2010,No,ssa550aer,205,4001,0.9242715991189894,0.9342668902422027,0.8362183081374698,0.9804517859574948,0.4343751178359677,0.9962624684369081
